topic,topic_id,bias_id,title,source,bias,desc.
Bridging Divides- Lean Left,34,1,Inflation emerges as a 2022 campaign dividing line,Politico, Lean Left,Tight congressional races across the nation are quickly turning into battlegrounds over a key economic question: whether President Joe Biden’s spending agenda...
Bridging Divides- Right,34,5,'I'm Against Government Intrusion': How an Ordinary Truck Driver Defeated New Jersey's Top State Senate Democrat,CBN, Right,"Edward Durr will be the first to tell you he is a simple man, living a simple life as a truck driver. That changed, however, earlier this month, because he and..."
Bridging Divides - moderate,34,3,Rigged Voting Machines? Chinese Hacking? Local Fraud? Officials Kept Digging,Newsweek,moderate,"On Monday, November 16th, Attorney General William Barr and FBI Director Christopher Wray were worried enough about Donald Trump..."
Bridging Divides- Lean Left,34,1,"Vermont Senator Patrick Leahy, the Senate's longest-serving member, to retire",CBS News (Online), Lean Left,"Democratic Senator Patrick Leahy of Vermont, the longest-serving active member of the Senate, will not seek reelection in 2022, he announced Monday.

Leahy,..."
Bridging Divides- Right,34,5,"In ‘Deep Blue’ New York, Voters Reject Democrats’ Push for Election Changes",The Daily Signal, Right,"In one of the bluest states in the nation, voters soundly rejected proposed changes to election law that congressional Democrats are trying to impose..."
Bridging Divides - moderate,34,3,Republicans hold largest edge in early midterm vote preferences in 40 years: poll,The Hill,moderate,"Republicans are in the best position to retake seats in Congress during midterm elections in four decades, according to a new poll. 

An ABC News/..."
Bridging Divides- Lean Left,34,1,Beto O’Rourke to run for governor of Texas in 2022 election,The Guardian, Lean Left,"Beto O’Rourke, a former congressman, Senate candidate and contender for the Democratic presidential nomination, will run for governor of Texas next..."
Bridging Divides- Right,34,5,Trump’s Bad Night,Rich Lowry, Right,"Glenn Youngkin did it his own way, barely mentioning the former president’s name, and still turned out MAGA voters in droves.

November 2 was a boffo..."
Bridging Divides - moderate,34,3,Fact Checking McAuliffe’s Claim That Youngkin Wants to Ban Books by Black Authors,The Dispatch Fact Check,moderate,The Democratic nominee in the Virginia gubernatorial race Terry McAuliffe has accused his Republican opponent Glenn Youngkin of “want[ing] to ban books by...
Bridging Divides- Lean Left,34,1,Christie’s calculus: Trump is ‘in the rearview mirror’,Politico, Lean Left,"He doesn’t actually say the name Donald Trump when he lays out what’s wrong with the Republican Party.

But it’s obvious who Chris Christie is talking about..."
Bridging Divides- Right,34,5,Virginia Secedes From Biden's Party,Pat Buchanan, Right,"""I don't think parents should be telling schools what they should teach.""

With this remark — arrogant, dismissive, contemptuous — in his debate with Glenn..."
Bridging Divides - moderate,34,3,Do election failures mark the end for 'defund the police'?,Yahoo! The 360,moderate,"After George Floyd was murdered by Minneapolis Police Officer Derek Chauvin in May 2020, the city became the epicenter of a nationwide movement pushing for..."
Bridging Divides- Left,34,2,Progressive coalition retools ahead of 2022,Vox, Left,"The Center for Popular Democracy, a nationwide alliance of progressive groups, is retooling for the 2022 midterm cycle with a new leadership team and a..."
Bridging Divides- Right,34,5,"House Republicans Inspired by Red Wave in VA, Target New House Seats for 2022: 'No Democrat Is Safe'",CBN, Right,"In the wake of Republican Glenn Youngkin's stunning victory in Virginia and a much closer-than-expected gubernatorial race in New Jersey, a traditional..."
Bridging Divides - moderate,34,3,"Joe Biden's Approval Rating Remains Dismal, Kamala Harris' Is Even Worse",Newsweek,moderate,President Joe Biden and Vice President Kamala Harris are continuing to suffer heavily in the polls following a week in which their party...
Business- Lean Left,35,1,Twitter will now let you pay to undo tweets and read ad-free news in the US,The Verge, Lean Left,"Twitter Blue, the company’s subscription service, is adding new features while expanding to new countries and platforms. The service first launched in..."
Business- Lean Right,35,4,Mainstream media comes to the defense of 'Gender Queer' author after parents claim it features 'child pornography',The Post Millennial, Lean Right,A controversial book that caused firestorms of parental anger upon being found in the libraries of public schools from Virginia to Rhode Island...
Business - moderate,35,3,US journalist jailed in Myanmar for nearly 6 months is freed,Associated Press,moderate,"American journalist Danny Fenster, who was recently sentenced to 11 years of hard labor after spending nearly six months in jail in military-ruled Myanmar, was..."
Business- Lean Left,35,1,Eight Things We Learned From The Facebook Papers,The Verge, Lean Left,"For months, Facebook has been shaken by a steady leak of documents from whistleblower Frances Haugen, beginning in The Wall Street Journal ..."
Business- Lean Right,35,4,McAuliffe team email says 'kill this' in response to Fox inquiry on election challenge,Washington Examiner, Lean Right,"A member of Terry McAuliffe's campaign for Virginia governor emailed ""kill this"" to a Fox News reporter inquiring about the hiring of a high-profile..."
Business - moderate,35,3,Comcast Applauds Newly Passed Infrastructure Bill’s Focus on Broadband Access,Variety,moderate,The Comcast Corporation has released a statement applauding the House of Representatives’ final passage of a sweeping bipartisan infrastructure bill...
Business- Lean Left,35,1,The Facebook Papers may be the biggest crisis in the company's history,CNN Business, Lean Left,"Facebook has confronted whistleblowers, PR firestorms and Congressional inquiries in recent years. But now it faces a combination of..."
Business- Right,35,5,Legacy Media Fuels Corporate Wokeness But Will Always Choose Wokeness Over Corporations,The Federalist, Right,There’s a misconception that legacy media is an arm of the Democratic Party. There’s also a misconception that legacy media is pro-corporate. It’s true that...
Business - moderate,35,3,Kansas Legislature edits video of public hearing to omit profane rant targeting a journalist,Poynter,moderate,"The Kansas State Legislature has altered video footage of a recent hearing to omit a profane rant targeting a journalist, raising questions about the..."
Business- Lean Left,35,1,"At Axel Springer, Politico’s New Owner, Allegations of Sex, Lies and a Secret Payment",New York Times (News), Lean Left,A high-level editor at the powerful German tabloid Bild was trying to break things off with a woman who was a junior employee at the paper. He was 36...
Business- Lean Right,35,4,Two Facebook tools suppressed traffic of conservative sites: Report,Washington Times, Lean Right,"One tool was abandoned, WSJ report on internal debates says.

Another one, known as “Informed Engagement,” reduced the reach of posts that were more likely..."
Business - moderate,35,3,Media coverage of Tuesday’s election focuses on the dire state of Democrats,Poynter,moderate,"Doomsday for Democrats; a rebirth for Republicans.

That’s, basically, the media’s take on Tuesday’s Election Day. And that take was essentially based on two..."
Business- Lean Left,35,1,Ransomware attack hits owner of dozens of local news stations,NBC News (Online), Lean Left,"Sinclair Broadcast Group, the parent company of dozens of news stations across the U.S., was hit by ransomware over the weekend.

Sinclair said in a ..."
Business- Lean Right,35,4,New York Times columnist leaves paper to run for Oregon governor,Washington Examiner, Lean Right,"A New York Times columnist boasting decades of experience with words is now trying to convince his state that he can put them into action.

On..."
Business - moderate,35,3,‘Does Facebook reward outrage?’ What leaked papers show the company knew.,Christian Science Monitor,moderate,"Facebook, the social media behemoth with more than 2.8 billion users worldwide, has been weathering storms of criticism ever since its founder Mark..."
Campaign Finance- Lean Left,36,1,Deficit ‘prediction’ for infrastructure bill varies widely from estimates,PolitiFact, Lean Left,"The day after the House passed an infrastructure bill and sent it to President Joe Biden to be signed, conservative podcast host Dan Bongino attacked..."
Campaign Finance- Right,36,5,Joe Biden ‘Got a Handle on COVID’,Washington Free Beacon, Right,"CLAIM:

""Biden got a handle on COVID.""

— David Corn, D.C. bureau chief of Mother Jones

The lib reporter made the assertion on Twitter in..."
Campaign Finance - moderate,36,3,Electric Vehicle Tax Credits in Democratic Plan,FactCheck.org,moderate,"The House’s current Build Back Better plan calls for extending a $7,500 tax credit for the purchase of electric vehicles, and it includes an additional $4,500..."
Campaign Finance- Left,36,2,Deceptive Republican attack ad uses images from Trump presidency to depict 'chaos' under Biden,CNN Fact Check, Left,A new national television ad from House Republicans' campaign arm deceptively uses images of events that occurred during former President Donald Trump's time...
Campaign Finance- Right,36,5,Democrat Cindy Axne Falsely Claims Biden’s $1.75T Agenda Will Cost Iowans ‘Literally Nothing’,Breitbart Fact Check, Right,"CLAIM: Democrat Rep. Cindy Axne (D-IA) claimed last week that President Joe Biden’s Build Back Better agenda will cost Iowans “literally nothing.”

VERDICT:..."
Campaign Finance - moderate,36,3,Can Colorado Hospitals Turn Away Unvaccinated Patients?,The Dispatch Fact Check,moderate,"An article from Red Voice Media, self-described as being owned by “patriots” and fighting “false narratives against conservatives,” claims that..."
Campaign Finance- Lean Left,36,1,"Maricopa County Audit Did Not Find 712,152 New Trump Votes",Snopes, Lean Left,"Since June 23, 2021, a political Facebook post has been shared at least tens of thousands of times. The screenshot in the post misrepresented the..."
Campaign Finance- Right,36,5,For Whom Do the Covid “Fact Checkers” Really Work?,Brownstone Institute, Right,"There are two types of COVID19 survivors— those who have documented recovery from sars-cov-2 (either PCR, antigen or serology + tests) or those who have self-..."
Campaign Finance - moderate,36,3,Aaron Rodgers’ Inaccurate COVID-19 Claims,FactCheck.org,moderate,"Aaron Rodgers, the star quarterback of the Green Bay Packers, made headlines when he contracted COVID-19 and then defended his decision not to get vaccinated..."
Campaign Finance- Lean Left,36,1,Canceling student loan debt would cost the federal government billions,USA TODAY, Lean Left,"Since President Joe Biden took office, his administration has canceled billions of dollars in student loan debt. Most recently, in early October..."
Campaign Finance- Lean Right,36,4,Beware People Trying to Dismiss Jack Dorsey's Inflation Analysis as Disinformation,Reason, Lean Right,"I hope you squirreled away that cool 16 cents you saved on your Fourth of July barbeque this year. Across the board, prices seem to be going up..."
Campaign Finance - moderate,36,3,Fact Checking McAuliffe’s Claim That Youngkin Wants to Ban Books by Black Authors,The Dispatch Fact Check,moderate,The Democratic nominee in the Virginia gubernatorial race Terry McAuliffe has accused his Republican opponent Glenn Youngkin of “want[ing] to ban books by...
Campaign Finance- Lean Left,36,1,Unpacking the noise around Dr. Anthony Fauci and beagle experiments,PolitiFact, Lean Left,"If you’ve seen media reports or social media postings about beagle puppies and Dr. Anthony Fauci, the White House’s chief medical adviser, you might be..."
Campaign Finance- Lean Right,36,4,Journalist Butchery of School Board Protests Upending Politics in Virginia and Elsewhere,Reason, Lean Right,The media pile-on atop Sen. Ted Cruz (R–Texas) for his comments Wednesday characterizing mock Nazi salutes at school board meetings as First...
Campaign Finance - moderate,36,3,Biden Botches Virginia Election History,FactCheck.org,moderate,"Seeking to deflect the significance of Democrat Terry McAuliffe’s loss in the Virginia governor’s race to Republican Glenn Youngkin, President Joe Biden..."
Campaign Rhetoric- Lean Left,37,1,Justice Department sues Texas over restrictive voting law,NBC News (Online), Lean Left,The Justice Department is suing Texas over key components of the state's Republican-led voting law that federal officials say are in...
Campaign Rhetoric- Right,37,5,"In ‘Deep Blue’ New York, Voters Reject Democrats’ Push for Election Changes",The Daily Signal, Right,"In one of the bluest states in the nation, voters soundly rejected proposed changes to election law that congressional Democrats are trying to impose..."
Campaign Rhetoric - moderate,37,3,Rigged Voting Machines? Chinese Hacking? Local Fraud? Officials Kept Digging,Newsweek,moderate,"On Monday, November 16th, Attorney General William Barr and FBI Director Christopher Wray were worried enough about Donald Trump..."
Campaign Rhetoric- Lean Left,37,1,Democrats Face Economic Gut-Check After GOP Taps Voters’ Angst,Bloomberg, Lean Left,"Democrats will argue for months about what led to their defeat at the ballot box on Tuesday -- whether it was their messaging, their candidates or their..."
Campaign Rhetoric- Lean Right,37,4,Voters Are Done With COVID-19 and Pandemic-Powered Officials,Reason, Lean Right,"Politicians have been on a high over the last year-plus, wielding extraordinary power with the approval of voters fearful of viral infection. Democrats, in..."
Campaign Rhetoric - moderate,37,3,U.S. Justice Dept sues Texas over law curbing voting,Reuters,moderate,"The U.S. Justice Department filed a lawsuit against Texas on Thursday over a state law that places strict curbs on voting by mail, in the latest effort by the..."
Campaign Rhetoric- Lean Left,37,1,Republicans Block a Second Voting Rights Bill in the Senate,New York Times (News), Lean Left,"Senate Republicans on Wednesday blocked legislation to restore parts of the landmark Voting Rights Act weakened by Supreme Court rulings, making it the second..."
Campaign Rhetoric- Right,37,5,Justice Department sues Texas over election integrity legislation,Fox News (Online News), Right,"The Department of Justice announced Thursday that it filed a lawsuit against Texas, targeting a state law that proponents say aims to make..."
Campaign Rhetoric - moderate,37,3,Justice Department Sues Texas Over Voting Law,AllSides Headline Roundup,moderate,The Justice Department filed a lawsuit on Thursday alleging that Texas’ controversial voting law violates the Civil Rights Act of 1964 and the Voting Rights...
Campaign Rhetoric- Left,37,2,"Republicans Once Supported the Voting Rights Act. Today, They Voted Against its Restoration.",Mother Jones, Left,"On Wednesday afternoon, GOP senators blocked Democrats from advancing a key voting rights bill, the John Lewis Voting Rights Advancement Act, marking the..."
Campaign Rhetoric- Lean Right,37,4,Senate GOP blocks federal election law debate for fourth time this year,New York Post (News), Lean Right,"Senate Democrats tried and failed once again Wednesday to begin debate on a bill that would radically revamp America’s election laws, as all but two..."
Campaign Rhetoric - moderate,37,3,Media coverage of Tuesday’s election focuses on the dire state of Democrats,Poynter,moderate,"Doomsday for Democrats; a rebirth for Republicans.

That’s, basically, the media’s take on Tuesday’s Election Day. And that take was essentially based on two..."
Campaign Rhetoric- Lean Left,37,1,"Maricopa County Audit Did Not Find 712,152 New Trump Votes",Snopes, Lean Left,"Since June 23, 2021, a political Facebook post has been shared at least tens of thousands of times. The screenshot in the post misrepresented the..."
Campaign Rhetoric- Right,37,5,"‘Our Broken Elections’: Who Broke Them and Why, and How to Fix Them",The Daily Signal, Right,"Election integrity is a fundamental requirement of a functioning democratic republic.

In the freest nation in the world, our system of government and our..."
Campaign Rhetoric - moderate,37,3,U.S. Senate Democrats fail in latest bid to debate voting rights bill,Reuters,moderate,"U.S. Senate Democrats on Wednesday failed to advance voting-rights legislation for the fourth time this year due to overwhelming Republican opposition, raising..."
Capital Punishment and Death Penalty- Lean Left,38,1,Jurors Hear Closing Arguments in Kyle Rittenhouse Trial,New York Times (News), Lean Left,A prosecutor hoping to send Kyle Rittenhouse to prison made closing arguments in his homicide trial on Monday. The jury was expected to begin weighing later in...
Capital Punishment and Death Penalty- Right,38,5,Rittenhouse defense criticizes prosecution's provocation charge in closing arguments: LIVE UPDATES,Fox News (Online News), Right,"Rittenhouse faces charges including first-degree intentional homicide, which is Wisconsin’s murder count; attempted first-degree intentional homicide;..."
Capital Punishment and Death Penalty - moderate,38,3,Watch live: Closing arguments are underway in the Kyle Rittenhouse homicide trial,NPR (Online News),moderate,"Prosecutors and defense lawyers are making their closing arguments in the criminal trial of Kyle Rittenhouse, the 18-year-old who is charged with homicide..."
Capital Punishment and Death Penalty- Lean Left,38,1,Jurors Hear Closing Arguments in Kyle Rittenhouse Trial,New York Times (News), Lean Left,A prosecutor hoping to send Kyle Rittenhouse to prison made closing arguments in his homicide trial on Monday. The jury was expected to begin weighing later in...
Capital Punishment and Death Penalty- Right,38,5,Rittenhouse defense criticizes prosecution's provocation charge in closing arguments: LIVE UPDATES,Fox News (Online News), Right,"Rittenhouse faces charges including first-degree intentional homicide, which is Wisconsin’s murder count; attempted first-degree intentional homicide;..."
Capital Punishment and Death Penalty - moderate,38,3,Closing Arguments Made in Kyle Rittenhouse Case,AllSides Headline Roundup,moderate,"Prosecutors and defense lawyers delivered their closing arguments in the murder trial of Kyle Rittenhouse on Monday. Rittenhouse, now 18, faces six charges —..."
Capital Punishment and Death Penalty- Lean Left,38,1,Kenosha hopes for calm as Kyle Rittenhouse trial nears end,NBC News (Online), Lean Left,"KENOSHA, Wis. — This city on Lake Michigan was quiet, calm and peaceful on Sunday, and many residents want it to remain that way as closing arguments in the..."
Capital Punishment and Death Penalty- Lean Right,38,4,Alex Jones liable for defamation in Sandy Hook ‘hoax’ lawsuits,New York Post (News), Lean Right,"Infowars host and conspiracy theorist Alex Jones has been found liable for defamation after claiming the Sandy Hook school massacre was a “hoax,” a judge ruled..."
Capital Punishment and Death Penalty - moderate,38,3,Trump dismisses rioters' calls to hang Pence: 'People were very angry',The Hill,moderate,"Former President Trump argued that then-Vice President Mike Pence was ""well-protected"" during the Jan. 6 riot and defended angry chants..."
Capital Punishment and Death Penalty- Lean Left,38,1,"Menace, as a Political Tool, Enters the Republican Mainstream",New York Times (News), Lean Left,"Threats of violence have become commonplace among a significant part of the party, as historians and those who study democracy warn of a dark shift in American..."
Capital Punishment and Death Penalty- Right,38,5,Appeals Court Blocks January 6 Committee Access To Trump White House Documents,The Daily Caller, Right,The D.C. Circuit Court of Appeals granted a request from former President Donald Trump to block the January 6 Committee’s access to his White House’s records...
Capital Punishment and Death Penalty - moderate,38,3,Appeals court temporarily blocks archives from handing Trump records to Jan. 6 committee,The Hill,moderate,A federal appeals court on Thursday intervened to temporarily block the National Archives from handing over Trump administration records to the House...
Capital Punishment and Death Penalty- Left,38,2,What Kyle Rittenhouse's tears reveal about America,CNN (Opinion), Left,"Despite last year's demonstrations supporting racial justice and substantive efforts at political reform, the system that devalues Black lives remains largely..."
Capital Punishment and Death Penalty- Lean Right,38,4,Won’t back down: Adams vows return of NYPD gun unit after BLM ‘bloodshed’ threat,New York Post (News), Lean Right,"Message to BLM: Eric Adams is not backing down.

The Big Apple mayor-elect doubled down on his campaign promise to reinstate the NYPD’s plainclothes unit a..."
Capital Punishment and Death Penalty - moderate,38,3,Appeals Court Temporarily Blocks Jan. 6 Committee's Request for Trump Records,AllSides Headline Roundup,moderate,A federal appeals court granted former President Donald Trump's request Thursday to temporarily block the National Archives from sending his White House...
China- Lean Left,39,1,"Twitter flags GOP lawmaker's anime video depicting him killing Ocasio-Cortez, attacking Biden as 'hateful conduct'",NBC News (Online), Lean Left,"Twitter added a warning label Monday to a tweet from a Republican lawmaker that depicted an animated killing of Rep. Alexandria Ocasio-Cortez, D-N.Y..."
China- Right,39,5,Free-Speech Entrepreneurs,City Journal, Right,"When video-sharing platform Rumble announced in August that it had struck deals with such prominent figures as Glenn Greenwald and Tulsi Gabbard, it marked a..."
China - moderate,39,3,"Supreme Court wrestles with limits on digital billboard ads, free speech",The Hill,moderate,The Supreme Court on Wednesday wrestled with where to draw the line between a town’s right to restrict garish billboard ads and constitutional free speech...
China- Lean Left,39,1,We need to do a better job teaching citizens about the First Amendment,USA TODAY, Lean Left,"For a country that purports to value our First Amendment right to freedom of speech, it has become clear that some of our elected officials don’t understand it..."
China- Lean Right,39,4,FBI Raid of James O'Keefe's House Is a Blow to Press Freedom,Robby Soave, Lean Right,"The FBI searched the home of James O'Keefe—a conservative activist who films undercover videos for his organization, Project Veritas—on Saturday, reportedly..."
China - moderate,39,3,Leaks Fuel Continued Scrutiny of Facebook From Across the Spectrum,AllSides Headline Roundup,moderate,Thousands of leaked internal Facebook documents continue to fuel news reports about the company and its alleged neglect of the platform's negative effects on...
China- Left,39,2,"Revealed; Facebook's Secret Blacklist of ""Dangerous Individuals and Organizations""",The Intercept, Left,"TO WARD OFF accusations that it helps terrorists spread propaganda, Facebook has for many years barred users from speaking freely about people and groups..."
China- Lean Right,39,4,Why Are the Media Treating 'Let's Go Brandon' Like Criminal Hate Speech?,Reason, Lean Right,"Last month, NBC reporter Kelli Stavast was interviewing NASCAR driver Brandon Brown following his victory in the NASCAR Xfinity Series Sparks 300 race when..."
China - moderate,39,3,LinkedIn to shut down app in China following censorship controversy,Axios,moderate,"LinkedIn on Thursday said it will sunset the localized version of its app in China and will instead launch a new job boards app called ""InJobs"" later this year..."
China- Lean Left,39,1,No evidence whistleblower Frances Haugen was planted by Facebook,PolitiFact, Lean Left,"A viral image circulating on social media baselessly claimed that former Facebook employee Frances Haugen, who turned over troves of internal company..."
China- Right,39,5,Hong Kong Passes Film Censorship Law,The Daily Wire, Right,The legislature of Hong Kong passed a new law allowing censorship of certain films in the most recent move to infringe upon the liberties of people in the...
China - moderate,39,3,"Google, YouTube to prohibit ads and monetization on climate denial content",Axios,moderate,Google and YouTube on Thursday announced a new policy that prohibits climate deniers from being able to monetize their content on its platforms via ads or...
China- Lean Left,39,1,Google and YouTube will cut off ad money for climate change deniers,The Verge, Lean Left,"Google will no longer allow advertisers, publishers, and YouTube creators to monetize content that denies the existence of climate change. The company detailed..."
China- Lean Right,39,4,MIT Canceled a Professor's Guest Lecture Because He Opposes Race-Based Admissions,Reason, Lean Right,Dorian Abbot is a geophysicist at the University of Chicago. The Massachusetts Institute of Technology (MIT) invited him to deliver a guest lecture on climate...
China - moderate,39,3,"Google, YouTube to Demonetize Content That Contradicts Climate Change Science",AllSides Headline Roundup,moderate,"Google will begin preventing advertisers, publishers, and YouTube creators from monetizing content that goes against ""well-established scientific consensus on..."
CIA- Lean Left,40,1,"Death threats, tweets jolt GOP infrastructure supporters",Associated Press Politics & Fact Check, Lean Left,"The last time Congress approved a major renewal of federal highway and other transportation programs, the votes were 359-65 in the House and 83-16 in the..."
CIA- Right,40,5,"How 31 Republicans Just Betrayed The Country To Reward Illegal Immigration, Worsen Inflation, And Pay Off Democrats’ Donors ",The Federalist, Right,A vote for the bipartisan infrastructure bill is a vote for Biden's reconciliation legislation -- the largest cradle-to-grave expansion of federal power since...
CIA - moderate,40,3,Biden Celebrates After Congress Passes $1.2T Bipartisan Infrastructure Bill,AllSides Headline Roundup,moderate,President Joe Biden on Saturday morning called Congress’ passage of his administration's $1.2 trillion infrastructure package a “monumental step forward for...
CIA- Lean Left,40,1,"Dems vow to plow forward on Biden agenda, even after election faceplants",Politico, Lean Left,"Joe Biden suffered his first major political lashing as president Tuesday.

But even as Democrats were processing a battering in the Virginia governor’s race..."
CIA- Right,40,5,Republicans Primed To ‘Comfortably Take Back’ Congress In 2022 After Democrats’ Election Disaster,The Daily Wire, Right,"Republicans’ routing of Democrats in Virginia and their strong showing in New Jersey on Tuesday night may signal a GOP takeover of Congress next year.

In..."
CIA - moderate,40,3,Progressives declare victory in spending bill fight,The Hill,moderate,"Progressives are declaring victory ahead of a possible vote Thursday on President Biden’s social spending and climate package, while saying they shouldn’t..."
CIA- Left,40,2,Pramila Jayapal is one of the most powerful leaders on Capitol Hill right now,CNN (Online News), Left,Democratic Rep. Pramila Jayapal has risen quickly in the ranks of Washington to become a powerful progressive leader on Capitol Hill since first...
CIA- Right,40,5,Schumer Thanks Democrats for Solving ‘Republican-Manufactured Crisis’ after Debt-Ceiling Hike Passes,National Review, Right,"Senate majority leader Chuck Schumer (D., N.Y.) railed against Republicans in a speech Thursday night after eleven GOP senators joined Democrats in breaking a..."
CIA - moderate,40,3,Federal Judges Would Face Tougher Stock-Trading Rules Under Bipartisan Bill,Wall Street Journal (News),moderate,"Federal judges would be required to report stock trades over $1,000 within 45 days and post their financial-disclosure forms online under legislation proposed..."
CIA- Lean Left,40,1,'They're probably going to put us back in power': GOP basks in Dem discord,Politico, Lean Left,"Most of the House GOP isn't lifting a finger to help Democrats out of their infrastructure jam, and with good reason. Just ask Rep. Randy Weber.

“They're..."
CIA- Right,40,5,Bernie Sanders Urges House Democrats to Hold Infrastructure Bill Hostage Until Reconciliation Package Passes,National Review, Right,"Joining Representative Alexandria Ocasio-Cortez and other members of the “squad,” Senator Bernie Sanders on Tuesday urged his fellow Democrats in the House to..."
CIA - moderate,40,3,Biden's carbon emissions-cutting pledge faces tough climb,Axios,moderate,"The verdict is in: President Biden's U.S. emissions-cutting pledge isn't a fantasy, but the path to meeting it is very difficult and relies on forces outside..."
CIA- Lean Left,40,1,Oil executives face ‘turning point’ US congressional hearing on climate crisis,The Guardian, Lean Left,The heads of major oil companies will make a historic appearance before Congress on Thursday to answer accusations that their firms have spent years lying...
CIA- Right,40,5,"Senate Rules Didn’t Dash Dems’ Mass Amnesty, They Did (But Amnesty Might Still Survive)",The Federalist, Right,"The sweeping change would grant permanent status and legal residency to an estimated 8 million people at a cost estimated at $140 billion.

The Senate’s..."
CIA - moderate,40,3,House Lawmakers ask Amazon to prove Bezos and other execs didn't lie to Congress,NPR (Online News),moderate,"Five members of a congressional committee say Jeff Bezos and other executives misled lawmakers and may have lied under oath, according to a Monday..."
Civil Rights- Left,41,2,Arizona’s Horrifying Plan to Bring Back the Gas Chamber,Slate, Left,"Late last month, Americans learned of the latest twist in the efforts of death penalty states to keep their execution machinery running when the Guardian ..."
Civil Rights- Lean Right,41,4,"Death row inmate convulses, vomits in 3rd consecutively botched Oklahoma execution",New York Post (News), Lean Right,"After a five-year moratorium, the state of Oklahoma botched its third consecutive execution on Thursday when convict John Marion Grant died after convulsing..."
Civil Rights - moderate,41,3,"Prosecutor to seek hate crime charges, death penalty in Atlanta shootings",Axios,moderate,"Prosecutors unveiled murder charges against the white man accused of shooting and killing eight people, six of whom were Asian women, at Atlanta-area spas,.AP..."
Civil Rights- Lean Left,41,1,"U.S. executes Lisa Montgomery, first woman put to death in federal system since 1953",NBC News (Online), Lean Left,"Lisa Montgomery, a convicted killer who strangled a pregnant woman in 2004 and then cut the unborn baby from her womb, was executed in a federal prison in..."
Civil Rights- Lean Right,41,4,Appeals court rules Dylann Roof death penalty-eligible for church massacre,New York Post (News), Lean Right,"Dylann Roof, the white gunman who killed nine black people in the 2015 Charleston church massacre, is one step closer to execution after a federal..."
Civil Rights - moderate,41,3,South Carolina moves closer to allowing death by firing squad,BBC News,moderate,"South Carolina lawmakers have passed a bill to allow inmates on death row to be executed by firing squad in the absence of lethal injection drugs.

When..."
Civil Rights- Lean Left,41,1,Trump administration puts Brandon Bernard to death amid rushed series of executions,The Guardian, Lean Left,"The Trump administration has executed Brandon Bernard, after the US supreme court denied a last-minute request to delay his killing. Bernard’s execution is one..."
Civil Rights- Lean Right,41,4,"Texas man executed despite appeals from Kim Kardashian West, Democrats",Washington Times, Lean Right,"A Texas man convicted of killing married youth ministers before setting their car on fire while they were inside was executed Thursday night, despite last-..."
Civil Rights - moderate,41,3,Virginia becomes first Southern state to abolish death penalty,Axios,moderate,"Virginia officially became the first Southern state and 23rd state nationwide to end capital punishment, after Gov. Ralph Northam (D) signed legislation to..."
Civil Rights- Left,41,2,"Trump Is Leaving the White House. Meanwhile, He’s Escalating His Execution Spree.",Mother Jones, Left,"Last week, as President Donald Trump was mounting more meritless court challenges to the election he had clearly lost, Orlando Hall was executed at the federal..."
Civil Rights- Right,41,5,Justice Department Asks Supreme Court To Allow Execution Of Four Child Murderers,The Daily Caller, Right,"The Trump administration asked the Supreme Court Monday night to clear the way for four federal executions, after a judge in Washington, D.C., put them on hold..."
Civil Rights - moderate,41,3,Virginia next in line to abolish death penalty. What’s behind the shift?,Christian Science Monitor,moderate,"Rachel Sutphin wasn’t thinking about the death penalty when her father, Montgomery County Sheriff’s Deputy Cpl. Eric Sutphin, was killed on duty in Blacksburg..."
Civil Rights- Lean Left,41,1,Feds put first Black inmate to death since execution restart,ABC News (Online), Lean Left,"A man who killed a religious couple visiting Texas from Iowa was executed Thursday, the first Black inmate put to death as part of the Trump administration’s..."
Civil Rights- Lean Right,41,4,"Meet Tom Drake, the NSA Whistleblower Cheney Wanted to ‘Fry’",The American Conservative, Lean Right,"“Find and fry the leaker or leakers. Burn them. We have to make an example of them.”

Vice President Dick Cheney issued that edict after whistleblower Thomas..."
Civil Rights - moderate,41,3,Democrats Unveil Legislation To Abolish The Federal Death Penalty,NPR (Online News),moderate,"Illinois Senator Dick Durbin, the incoming Democratic chair of the Senate Judiciary Committee, and Rep. Ayanna Pressley, D-Mass., are unveiling legislation..."
Coronavirus- Lean Left,42,1,CEO who threw chair inside Capitol on Jan. 6 gets jail time,Associated Press Politics & Fact Check, Lean Left,The former chief executive of a tech company in suburban Chicago who lost his job after he threw a chair inside the U.S. Capitol during the Jan. 6 riot was...
Coronavirus- Right,42,5,Rep. Jim Jordan: Email Shows FBI Using ‘Counterterrorism Tools’ Against ‘Concerned Parents’,The Daily Signal, Right,"The top Republican on the House Judiciary Committee is asking Attorney General Merrick Garland about his October testimony to that same committee,..."
Coronavirus - moderate,42,3,Judge Tosses Out Michael Cohen’s Bid For Trump Organization To Pay His Legal Bills,Forbes,moderate,"A state court in Manhattan will not require the Trump Organization to reimburse former Trump attorney Michael Cohen for millions of dollars in legal expenses,..."
Coronavirus- Lean Left,42,1,Bannon Indicted on Contempt Charges Over House’s Capitol Riot Inquiry,New York Times (News), Lean Left,"Stephen K. Bannon, a onetime aide to former President Donald J. Trump, was indicted by a federal grand jury on Friday on two counts of contempt of..."
